ip_range,network,service
::1/128,Private,Localhost
fe80::/10,Private,IPv6 link-local
127.0.0.1/32,Private,Localhost
224.0.0.0/8,Multicast,Multicast
239.0.0.0/8,Multicast,Multicast
240.0.0.0/8,Future Use,Future Use
255.0.0.0/8,Future Use,Future Use
FF00::/8,Multicast,Multicast
4.145.74.52/30,,ActionGroup
4.149.254.68/30,,ActionGroup
4.150.239.212/30,,ActionGroup
4.151.103.92/30,,ActionGroup
4.171.31.152/30,,ActionGroup
4.190.136.180/30,,ActionGroup
4.200.251.84/30,,ActionGroup
4.202.253.100/30,,ActionGroup
4.206.229.96/30,,ActionGroup
4.207.242.64/30,,ActionGroup
4.216.204.200/30,,ActionGroup
4.218.236.160/30,,ActionGroup
4.219.249.220/30,,ActionGroup
4.220.138.104/30,,ActionGroup
4.232.48.104/30,,ActionGroup
4.232.106.88/30,,ActionGroup
4.240.148.92/30,,ActionGroup
4.243.28.116/30,,ActionGroup
4.248.83.192/30,,ActionGroup
9.160.80.24/30,,ActionGroup
9.205.75.32/30,,ActionGroup
13.66.143.220/30,,ActionGroup
13.67.10.124/30,,ActionGroup
13.69.109.132/30,,ActionGroup
13.71.199.112/30,,ActionGroup
13.77.53.216/30,,ActionGroup
13.78.109.156/30,,ActionGroup
13.86.221.220/30,,ActionGroup
13.106.38.142/32,,ActionGroup
13.106.38.148/32,,ActionGroup
13.106.54.3/32,,ActionGroup
13.106.54.19/32,,ActionGroup
13.106.57.181/32,,ActionGroup
13.106.57.196/31,,ActionGroup
20.7.239.202/32,,ActionGroup
20.10.122.64/32,,ActionGroup
20.17.63.212/30,,ActionGroup
20.17.66.88/30,,ActionGroup
20.17.124.64/30,,ActionGroup
20.17.130.24/30,,ActionGroup
20.21.42.88/30,,ActionGroup
20.38.133.4/30,,ActionGroup
20.38.149.132/30,,ActionGroup
20.42.64.36/30,,ActionGroup
20.43.121.124/30,,ActionGroup
20.44.17.220/30,,ActionGroup
20.45.123.236/30,,ActionGroup
20.47.194.50/32,,ActionGroup
20.47.194.102/32,,ActionGroup
20.52.95.254/31,,ActionGroup
20.52.214.122/32,,ActionGroup
20.52.214.191/32,,ActionGroup
20.53.1.68/30,,ActionGroup
20.53.62.100/31,,ActionGroup
20.69.8.102/31,,ActionGroup
20.72.27.152/30,,ActionGroup
20.85.194.70/32,,ActionGroup
20.85.194.220/32,,ActionGroup
20.88.72.40/30,,ActionGroup
20.90.38.38/31,,ActionGroup
20.91.100.232/30,,ActionGroup
20.92.5.114/31,,ActionGroup
20.99.31.224/30,,ActionGroup
20.105.215.20/31,,ActionGroup
20.111.76.188/30,,ActionGroup
20.116.43.108/31,,ActionGroup
20.117.193.34/31,,ActionGroup
20.118.78.36/31,,ActionGroup
20.119.28.220/31,,ActionGroup
20.125.4.168/31,,ActionGroup
20.125.199.59/32,,ActionGroup
20.135.70.51/32,,ActionGroup
20.135.74.3/32,,ActionGroup
20.150.172.228/30,,ActionGroup
20.164.158.200/30,,ActionGroup
20.167.131.224/30,,ActionGroup
20.168.188.36/30,,ActionGroup
20.170.175.8/30,,ActionGroup
20.192.238.124/30,,ActionGroup
20.193.96.28/30,,ActionGroup
20.193.202.4/30,,ActionGroup
20.195.87.54/31,,ActionGroup
20.199.201.66/31,,ActionGroup
20.199.207.184/30,,ActionGroup
20.203.88.62/31,,ActionGroup
20.203.93.200/30,,ActionGroup
20.204.192.216/31,,ActionGroup
20.204.199.124/30,,ActionGroup
20.207.175.176/30,,ActionGroup
20.208.157.48/30,,ActionGroup
20.210.69.140/31,,ActionGroup
20.213.228.120/30,,ActionGroup
20.215.74.56/30,,ActionGroup
20.215.154.88/30,,ActionGroup
20.217.8.56/30,,ActionGroup
20.217.58.88/30,,ActionGroup
20.221.192.80/32,,ActionGroup
20.225.21.250/32,,ActionGroup
20.225.22.84/32,,ActionGroup
20.228.34.17/32,,ActionGroup
20.228.34.19/32,,ActionGroup
20.240.1.100/31,,ActionGroup
20.244.66.175/32,,ActionGroup
20.244.67.158/32,,ActionGroup
20.252.215.0/30,,ActionGroup
23.97.93.60/30,,ActionGroup
23.100.222.168/30,,ActionGroup
40.64.15.124/30,,ActionGroup
40.65.72.174/32,,ActionGroup
40.65.72.253/32,,ActionGroup
40.69.111.196/30,,ActionGroup
40.74.102.24/30,,ActionGroup
40.83.170.64/32,,ActionGroup
40.83.173.147/32,,ActionGroup
40.121.67.30/32,,ActionGroup
48.216.8.24/30,,ActionGroup
48.219.232.24/30,,ActionGroup
51.4.160.24/30,,ActionGroup
51.12.101.172/30,,ActionGroup
51.12.204.244/30,,ActionGroup
51.53.40.144/30,,ActionGroup
51.53.106.88/30,,ActionGroup
51.53.139.92/30,,ActionGroup
51.53.186.88/30,,ActionGroup
51.104.9.100/30,,ActionGroup
51.107.193.28/30,,ActionGroup
51.138.160.220/30,,ActionGroup
51.140.215.184/30,,ActionGroup
52.147.98.52/30,,ActionGroup
52.160.97.65/32,,ActionGroup
52.172.33.114/32,,ActionGroup
52.172.87.0/30,,ActionGroup
52.183.31.0/32,,ActionGroup
52.184.145.166/32,,ActionGroup
52.240.244.140/30,,ActionGroup
68.154.136.24/30,,ActionGroup
68.210.152.24/30,,ActionGroup
68.211.152.24/30,,ActionGroup
68.218.131.40/30,,ActionGroup
68.221.44.44/30,,ActionGroup
68.221.98.88/30,,ActionGroup
70.153.176.24/30,,ActionGroup
74.7.80.24/30,,ActionGroup
74.249.127.180/30,,ActionGroup
98.66.132.188/30,,ActionGroup
98.67.183.188/30,,ActionGroup
104.47.217.71/32,,ActionGroup
104.47.217.87/32,,ActionGroup
104.47.217.151/32,,ActionGroup
104.47.240.167/32,,ActionGroup
104.47.240.215/32,,ActionGroup
104.211.231.103/32,,ActionGroup
104.214.165.80/30,,ActionGroup
108.140.5.168/30,,ActionGroup
158.23.10.88/30,,ActionGroup
158.23.119.232/30,,ActionGroup
168.61.142.52/30,,ActionGroup
168.61.239.12/30,,ActionGroup
172.160.216.24/30,,ActionGroup
172.164.208.220/30,,ActionGroup
172.182.164.108/30,,ActionGroup
172.183.4.112/30,,ActionGroup
172.187.32.16/30,,ActionGroup
172.187.67.44/30,,ActionGroup
172.191.219.248/30,,ActionGroup
172.201.232.60/30,,ActionGroup
172.202.80.168/30,,ActionGroup
172.204.177.28/30,,ActionGroup
172.209.8.40/30,,ActionGroup
172.215.202.24/30,,ActionGroup
191.233.50.4/30,,ActionGroup
191.233.207.64/26,,ActionGroup
2603:1000:4::10c/126,,ActionGroup
2603:1000:4:402::178/125,,ActionGroup
2603:1000:104:3::1ec/126,,ActionGroup
2603:1000:104:402::178/125,,ActionGroup
2603:1010:6:1::10c/126,,ActionGroup
2603:1010:6:402::178/125,,ActionGroup
2603:1010:101::10c/126,,ActionGroup
2603:1010:101:402::178/125,,ActionGroup
2603:1010:304::10c/126,,ActionGroup
2603:1010:304:402::178/125,,ActionGroup
2603:1010:404::10c/126,,ActionGroup
2603:1010:404:402::178/125,,ActionGroup
2603:1010:502:400::80/125,,ActionGroup
2603:1020:5:1::114/126,,ActionGroup
2603:1020:5:402::178/125,,ActionGroup
2603:1020:104:800::40/125,,ActionGroup
2603:1020:206:b::fc/126,,ActionGroup
2603:1020:206:402::178/125,,ActionGroup
2603:1020:206:403::78/125,,ActionGroup
2603:1020:305:402::178/125,,ActionGroup
2603:1020:405:402::178/125,,ActionGroup
2603:1020:605::128/126,,ActionGroup
2603:1020:605:402::178/125,,ActionGroup
2603:1020:705:3::234/126,,ActionGroup
2603:1020:705:402::178/125,,ActionGroup
2603:1020:805:1::130/126,,ActionGroup
2603:1020:805:402::178/125,,ActionGroup
2603:1020:905::10c/126,,ActionGroup
2603:1020:905:402::178/125,,ActionGroup
2603:1020:a04:1::10c/126,,ActionGroup
2603:1020:a04:402::178/125,,ActionGroup
2603:1020:b04:2::5b4/126,,ActionGroup
2603:1020:b04:402::178/125,,ActionGroup
2603:1020:c04:1::130/126,,ActionGroup
2603:1020:c04:402::178/125,,ActionGroup
2603:1020:d04::10c/126,,ActionGroup
2603:1020:d04:402::178/125,,ActionGroup
2603:1020:e04:1::128/126,,ActionGroup
2603:1020:e04:402::178/125,,ActionGroup
2603:1020:f04::10c/126,,ActionGroup
2603:1020:f04:402::178/125,,ActionGroup
2603:1020:1004::130/126,,ActionGroup
2603:1020:1004:800::f8/125,,ActionGroup
2603:1020:1104:1::79c/126,,ActionGroup
2603:1020:1104:400::178/125,,ActionGroup
2603:1020:1204:3::56c/126,,ActionGroup
2603:1020:1204:400::c0/125,,ActionGroup
2603:1020:1302:2::5a0/126,,ActionGroup
2603:1020:1302:400::180/125,,ActionGroup
2603:1020:1403:1::2a8/126,,ActionGroup
2603:1020:1403:400::100/125,,ActionGroup
2603:1020:1502:400::40/125,,ActionGroup
2603:1020:1602:400::1c8/125,,ActionGroup
2603:1030:f:4::39c/126,,ActionGroup
2603:1030:f:400::978/125,,ActionGroup
2603:1030:10:1::118/126,,ActionGroup
2603:1030:10:402::178/125,,ActionGroup
2603:1030:104:2::ec/126,,ActionGroup
2603:1030:104:402::178/125,,ActionGroup
2603:1030:107:1::3b0/126,,ActionGroup
2603:1030:107:400::f0/125,,ActionGroup
2603:1030:210:1::118/126,,ActionGroup
2603:1030:210:402::178/125,,ActionGroup
2603:1030:302:1::90/126,,ActionGroup
2603:1030:40b:1::114/126,,ActionGroup
2603:1030:40b:400::978/125,,ActionGroup
2603:1030:40c:1::118/126,,ActionGroup
2603:1030:40c:402::178/125,,ActionGroup
2603:1030:504:1::10c/126,,ActionGroup
2603:1030:504:802::f8/125,,ActionGroup
2603:1030:608::130/126,,ActionGroup
2603:1030:608:402::178/125,,ActionGroup
2603:1030:702:1::2a8/126,,ActionGroup
2603:1030:702:400::100/125,,ActionGroup
2603:1030:807:1::138/126,,ActionGroup
2603:1030:807:402::178/125,,ActionGroup
2603:1030:902:400::40/125,,ActionGroup
2603:1030:a07::138/126,,ActionGroup
2603:1030:a07:402::8f8/125,,ActionGroup
2603:1030:b04:1::4cc/126,,ActionGroup
2603:1030:b04:402::178/125,,ActionGroup
2603:1030:b04:800::40/125,,ActionGroup
2603:1030:c06:c::194/126,,ActionGroup
2603:1030:c06:400::978/125,,ActionGroup
2603:1030:f05:1::120/126,,ActionGroup
2603:1030:f05:402::178/125,,ActionGroup
2603:1030:1005::10c/126,,ActionGroup
2603:1030:1005:402::178/125,,ActionGroup
2603:1030:1102:400::40/125,,ActionGroup
2603:1030:1202:400::40/125,,ActionGroup
2603:1030:1302:400::40/125,,ActionGroup
2603:1040:5:3::5fc/126,,ActionGroup
2603:1040:5:402::178/125,,ActionGroup
2603:1040:207::114/126,,ActionGroup
2603:1040:207:402::178/125,,ActionGroup
2603:1040:407:1::114/126,,ActionGroup
2603:1040:407:402::178/125,,ActionGroup
2603:1040:606::10c/126,,ActionGroup
2603:1040:606:402::178/125,,ActionGroup
2603:1040:806::10c/126,,ActionGroup
2603:1040:806:402::178/125,,ActionGroup
2603:1040:904:1::114/126,,ActionGroup
2603:1040:904:402::178/125,,ActionGroup
2603:1040:a06:1::128/126,,ActionGroup
2603:1040:a06:402::178/125,,ActionGroup
2603:1040:b04::10c/126,,ActionGroup
2603:1040:b04:402::178/125,,ActionGroup
2603:1040:c06::10c/126,,ActionGroup
2603:1040:c06:402::178/125,,ActionGroup
2603:1040:d04::10c/126,,ActionGroup
2603:1040:d04:800::f8/125,,ActionGroup
2603:1040:e05:5::4ac/126,,ActionGroup
2603:1040:e05:402::180/125,,ActionGroup
2603:1040:f05:1::10c/126,,ActionGroup
2603:1040:f05:402::178/125,,ActionGroup
2603:1040:1002:5::30c/126,,ActionGroup
2603:1040:1002:400::180/125,,ActionGroup
2603:1040:1104::10c/126,,ActionGroup
2603:1040:1104:400::178/125,,ActionGroup
2603:1040:1202:1::1a4/126,,ActionGroup
2603:1040:1202:400::180/125,,ActionGroup
2603:1040:1302:1::22c/126,,ActionGroup
2603:1040:1302:400::180/125,,ActionGroup
2603:1040:1402:2::520/126,,ActionGroup
2603:1040:1402:400::180/125,,ActionGroup
2603:1040:1503:1::1c4/126,,ActionGroup
2603:1040:1503:400::180/125,,ActionGroup
2603:1040:1602:1::2e8/126,,ActionGroup
2603:1040:1602:400::40/125,,ActionGroup
2603:1040:1702:400::40/125,,ActionGroup
2603:1040:1802:400::40/125,,ActionGroup
2603:1050:6:2::6f0/126,,ActionGroup
2603:1050:6:402::178/125,,ActionGroup
2603:1050:301:400::40/125,,ActionGroup
2603:1050:403::10c/126,,ActionGroup
2603:1050:403:400::1f8/125,,ActionGroup
13.86.97.224/28,,ApplicationInsightsAvailability
20.37.156.64/27,,ApplicationInsightsAvailability
20.37.192.80/29,,ApplicationInsightsAvailability
20.38.80.80/28,,ApplicationInsightsAvailability
20.40.104.96/28,,ApplicationInsightsAvailability
20.40.124.176/28,,ApplicationInsightsAvailability
20.40.129.32/28,,ApplicationInsightsAvailability
20.40.129.96/28,,ApplicationInsightsAvailability
20.42.4.64/27,,ApplicationInsightsAvailability
20.42.35.32/28,,ApplicationInsightsAvailability
20.42.129.32/27,,ApplicationInsightsAvailability
20.43.40.80/28,,ApplicationInsightsAvailability
20.43.64.80/29,,ApplicationInsightsAvailability
20.43.128.96/29,,ApplicationInsightsAvailability
20.45.5.160/28,,ApplicationInsightsAvailability
20.189.106.64/29,,ApplicationInsightsAvailability
23.100.224.16/28,,ApplicationInsightsAvailability
40.74.24.80/28,,ApplicationInsightsAvailability
40.80.186.128/26,,ApplicationInsightsAvailability
40.91.82.48/28,,ApplicationInsightsAvailability
40.119.8.96/27,,ApplicationInsightsAvailability
51.104.24.80/29,,ApplicationInsightsAvailability
51.105.9.128/28,,ApplicationInsightsAvailability
51.137.160.80/29,,ApplicationInsightsAvailability
51.144.56.96/28,,ApplicationInsightsAvailability
52.139.250.96/28,,ApplicationInsightsAvailability
52.140.232.160/28,,ApplicationInsightsAvailability
52.158.28.64/28,,ApplicationInsightsAvailability
52.229.216.48/28,,ApplicationInsightsAvailability
191.233.26.176/28,,ApplicationInsightsAvailability
191.235.224.80/29,,ApplicationInsightsAvailability
20.14.121.176/31,,AutonomousDevelopmentPlatform
20.21.83.140/31,,AutonomousDevelopmentPlatform
20.21.83.142/32,,AutonomousDevelopmentPlatform
20.24.3.12/31,,AutonomousDevelopmentPlatform
20.24.3.14/32,,AutonomousDevelopmentPlatform
20.26.17.248/31,,AutonomousDevelopmentPlatform
20.26.17.250/32,,AutonomousDevelopmentPlatform
20.45.242.21/32,,AutonomousDevelopmentPlatform
20.45.242.212/31,,AutonomousDevelopmentPlatform
20.47.236.90/31,,AutonomousDevelopmentPlatform
20.51.21.253/32,,AutonomousDevelopmentPlatform
20.53.54.178/31,,AutonomousDevelopmentPlatform
20.53.55.152/32,,AutonomousDevelopmentPlatform
20.53.62.99/32,,AutonomousDevelopmentPlatform
20.53.62.110/31,,AutonomousDevelopmentPlatform
20.59.81.226/31,,AutonomousDevelopmentPlatform
20.59.81.228/30,,AutonomousDevelopmentPlatform
20.59.84.229/32,,AutonomousDevelopmentPlatform
20.59.87.96/31,,AutonomousDevelopmentPlatform
20.69.5.163/32,,AutonomousDevelopmentPlatform
20.69.8.0/31,,AutonomousDevelopmentPlatform
20.74.197.84/31,,AutonomousDevelopmentPlatform
20.74.197.86/32,,AutonomousDevelopmentPlatform
20.79.108.99/32,,AutonomousDevelopmentPlatform
20.83.222.103/32,,AutonomousDevelopmentPlatform
20.83.222.110/31,,AutonomousDevelopmentPlatform
20.87.86.193/32,,AutonomousDevelopmentPlatform
20.87.86.194/31,,AutonomousDevelopmentPlatform
20.90.38.51/32,,AutonomousDevelopmentPlatform
20.91.12.238/31,,AutonomousDevelopmentPlatform
20.91.146.10/31,,AutonomousDevelopmentPlatform
20.92.5.122/31,,AutonomousDevelopmentPlatform
20.98.149.239/32,,AutonomousDevelopmentPlatform
20.98.195.184/31,,AutonomousDevelopmentPlatform
20.98.198.32/28,,AutonomousDevelopmentPlatform
20.100.7.33/32,,AutonomousDevelopmentPlatform
20.100.7.34/31,,AutonomousDevelopmentPlatform
20.105.211.94/31,,AutonomousDevelopmentPlatform
20.105.211.104/30,,AutonomousDevelopmentPlatform
20.105.215.34/31,,AutonomousDevelopmentPlatform
20.105.215.36/30,,AutonomousDevelopmentPlatform
20.105.243.144/30,,AutonomousDevelopmentPlatform
20.105.243.148/31,,AutonomousDevelopmentPlatform
20.107.239.204/30,,AutonomousDevelopmentPlatform
20.107.239.216/31,,AutonomousDevelopmentPlatform
20.111.3.221/32,,AutonomousDevelopmentPlatform
20.111.3.222/31,,AutonomousDevelopmentPlatform
20.116.43.118/31,,AutonomousDevelopmentPlatform
20.118.78.44/30,,AutonomousDevelopmentPlatform
20.118.78.104/29,,AutonomousDevelopmentPlatform
20.118.139.214/31,,AutonomousDevelopmentPlatform
20.118.141.32/29,,AutonomousDevelopmentPlatform
20.118.141.40/31,,AutonomousDevelopmentPlatform
20.118.141.43/32,,AutonomousDevelopmentPlatform
20.118.196.132/31,,AutonomousDevelopmentPlatform
20.119.28.252/31,,AutonomousDevelopmentPlatform
20.119.158.1/32,,AutonomousDevelopmentPlatform
20.119.158.2/31,,AutonomousDevelopmentPlatform
20.125.4.174/31,,AutonomousDevelopmentPlatform
20.125.4.200/30,,AutonomousDevelopmentPlatform
20.125.164.103/32,,AutonomousDevelopmentPlatform
20.125.166.40/31,,AutonomousDevelopmentPlatform
20.189.198.127/32,,AutonomousDevelopmentPlatform
20.192.159.65/32,,AutonomousDevelopmentPlatform
20.192.159.66/31,,AutonomousDevelopmentPlatform
20.199.201.74/31,,AutonomousDevelopmentPlatform
20.199.203.72/32,,AutonomousDevelopmentPlatform
20.200.160.253/32,,AutonomousDevelopmentPlatform
20.200.160.254/31,,AutonomousDevelopmentPlatform
20.200.199.87/32,,AutonomousDevelopmentPlatform
20.203.88.78/31,,AutonomousDevelopmentPlatform
20.203.89.36/32,,AutonomousDevelopmentPlatform
20.204.194.130/31,,AutonomousDevelopmentPlatform
20.204.194.132/32,,AutonomousDevelopmentPlatform
20.205.50.118/31,,AutonomousDevelopmentPlatform
20.205.55.208/32,,AutonomousDevelopmentPlatform
20.206.3.5/32,,AutonomousDevelopmentPlatform
20.206.5.32/31,,AutonomousDevelopmentPlatform
20.206.183.24/31,,AutonomousDevelopmentPlatform
20.206.183.26/32,,AutonomousDevelopmentPlatform
20.207.5.94/31,,AutonomousDevelopmentPlatform
20.207.5.96/32,,AutonomousDevelopmentPlatform
20.207.169.138/31,,AutonomousDevelopmentPlatform
20.207.169.140/32,,AutonomousDevelopmentPlatform
20.208.145.129/32,,AutonomousDevelopmentPlatform
20.208.148.4/31,,AutonomousDevelopmentPlatform
20.210.71.248/31,,AutonomousDevelopmentPlatform
20.210.71.250/32,,AutonomousDevelopmentPlatform
20.210.145.54/31,,AutonomousDevelopmentPlatform
20.211.224.36/32,,AutonomousDevelopmentPlatform
20.213.196.192/31,,AutonomousDevelopmentPlatform
20.213.196.194/32,,AutonomousDevelopmentPlatform
20.214.131.40/31,,AutonomousDevelopmentPlatform
20.218.184.172/31,,AutonomousDevelopmentPlatform
20.220.0.244/32,,AutonomousDevelopmentPlatform
20.223.64.136/30,,AutonomousDevelopmentPlatform
20.223.64.140/31,,AutonomousDevelopmentPlatform
20.232.88.16/28,,AutonomousDevelopmentPlatform
20.232.92.207/32,,AutonomousDevelopmentPlatform
20.232.93.108/31,,AutonomousDevelopmentPlatform
20.236.145.194/31,,AutonomousDevelopmentPlatform
20.236.146.156/32,,AutonomousDevelopmentPlatform
40.64.14.56/31,,AutonomousDevelopmentPlatform
40.64.14.58/32,,AutonomousDevelopmentPlatform
40.80.100.192/31,,AutonomousDevelopmentPlatform
40.80.100.194/32,,AutonomousDevelopmentPlatform
51.12.22.205/32,,AutonomousDevelopmentPlatform
51.12.75.179/32,,AutonomousDevelopmentPlatform
51.116.78.34/31,,AutonomousDevelopmentPlatform
51.116.78.248/32,,AutonomousDevelopmentPlatform
51.120.178.136/31,,AutonomousDevelopmentPlatform
51.120.178.138/32,,AutonomousDevelopmentPlatform
51.142.130.4/31,,AutonomousDevelopmentPlatform
52.146.141.240/30,,AutonomousDevelopmentPlatform
52.146.141.244/31,,AutonomousDevelopmentPlatform
52.242.46.238/31,,AutonomousDevelopmentPlatform
52.242.47.0/32,,AutonomousDevelopmentPlatform
102.37.87.252/31,,AutonomousDevelopmentPlatform
102.37.87.254/32,,AutonomousDevelopmentPlatform
2603:1020:5:4::240/124,,AutonomousDevelopmentPlatform
2603:1020:5:4::250/125,,AutonomousDevelopmentPlatform
2603:1020:206::7d0/124,,AutonomousDevelopmentPlatform
2603:1020:206::7e0/125,,AutonomousDevelopmentPlatform
2603:1030:f:3::724/126,,AutonomousDevelopmentPlatform
2603:1030:210::7e0/123,,AutonomousDevelopmentPlatform
2603:1030:40b:2::22c/126,,AutonomousDevelopmentPlatform
2603:1030:40c::7e0/123,,AutonomousDevelopmentPlatform
2603:1030:504:4::80/124,,AutonomousDevelopmentPlatform
2603:1030:807:3::250/124,,AutonomousDevelopmentPlatform
2603:1030:a07:9::1d8/125,,AutonomousDevelopmentPlatform
2603:1030:b04::2ac/126,,AutonomousDevelopmentPlatform
2603:1030:c06:2::22c/126,,AutonomousDevelopmentPlatform
2603:1030:c06:5::1d0/125,,AutonomousDevelopmentPlatform
4.149.98.192/27,,AzureActiveDirectory
4.149.105.224/27,,AzureActiveDirectory
4.150.253.96/28,,AzureActiveDirectory
4.156.6.96/28,,AzureActiveDirectory
4.190.147.80/28,,AzureActiveDirectory
4.198.160.112/28,,AzureActiveDirectory
4.207.244.176/28,,AzureActiveDirectory
13.64.151.161/32,,AzureActiveDirectory
13.66.141.64/27,,AzureActiveDirectory
13.66.150.240/28,,AzureActiveDirectory
13.67.9.224/27,,AzureActiveDirectory
13.67.21.96/27,,AzureActiveDirectory
13.69.66.160/27,,AzureActiveDirectory
13.69.119.208/28,,AzureActiveDirectory
13.69.229.96/27,,AzureActiveDirectory
13.70.73.32/27,,AzureActiveDirectory
13.71.172.160/27,,AzureActiveDirectory
13.71.195.224/27,,AzureActiveDirectory
13.71.201.64/26,,AzureActiveDirectory
13.73.240.32/27,,AzureActiveDirectory
13.74.104.0/26,,AzureActiveDirectory
13.74.203.80/28,,AzureActiveDirectory
13.74.249.156/32,,AzureActiveDirectory
13.75.38.32/27,,AzureActiveDirectory
13.75.105.168/32,,AzureActiveDirectory
13.77.52.160/27,,AzureActiveDirectory
13.78.108.192/27,,AzureActiveDirectory
13.78.172.246/32,,AzureActiveDirectory
13.79.37.247/32,,AzureActiveDirectory
13.86.219.0/27,,AzureActiveDirectory
13.87.16.0/26,,AzureActiveDirectory
13.87.57.160/27,,AzureActiveDirectory
13.87.123.160/27,,AzureActiveDirectory
13.89.174.0/27,,AzureActiveDirectory
20.18.183.32/28,,AzureActiveDirectory
20.20.32.0/19,,AzureActiveDirectory
20.36.107.192/27,,AzureActiveDirectory
20.36.115.64/27,,AzureActiveDirectory
20.36.151.160/28,,AzureActiveDirectory
20.37.75.96/27,,AzureActiveDirectory
20.40.228.64/28,,AzureActiveDirectory
20.42.79.112/28,,AzureActiveDirectory
20.43.120.32/27,,AzureActiveDirectory
20.43.127.160/28,,AzureActiveDirectory
20.44.3.160/27,,AzureActiveDirectory
20.44.16.32/27,,AzureActiveDirectory
20.46.10.64/27,,AzureActiveDirectory
20.50.76.176/28,,AzureActiveDirectory
20.50.206.128/28,,AzureActiveDirectory
20.51.9.80/28,,AzureActiveDirectory
20.51.14.72/31,,AzureActiveDirectory
20.51.16.128/27,,AzureActiveDirectory
20.61.98.160/27,,AzureActiveDirectory
20.61.99.128/28,,AzureActiveDirectory
20.62.58.80/28,,AzureActiveDirectory
20.62.129.0/27,,AzureActiveDirectory
20.62.129.240/28,,AzureActiveDirectory
20.62.134.74/31,,AzureActiveDirectory
20.65.4.192/28,,AzureActiveDirectory
20.65.132.96/28,,AzureActiveDirectory
20.66.2.32/27,,AzureActiveDirectory
20.66.3.16/28,,AzureActiveDirectory
20.72.21.64/26,,AzureActiveDirectory
20.83.195.128/28,,AzureActiveDirectory
20.88.66.0/27,,AzureActiveDirectory
20.89.1.112/30,,AzureActiveDirectory
20.111.78.128/28,,AzureActiveDirectory
20.150.227.112/28,,AzureActiveDirectory
20.187.197.32/27,,AzureActiveDirectory
20.187.197.240/28,,AzureActiveDirectory
20.190.128.0/18,,AzureActiveDirectory
20.192.102.240/28,,AzureActiveDirectory
20.194.70.224/27,,AzureActiveDirectory
20.194.73.0/28,,AzureActiveDirectory
20.194.129.224/28,,AzureActiveDirectory
20.195.56.102/32,,AzureActiveDirectory
20.195.57.118/32,,AzureActiveDirectory
20.195.64.192/27,,AzureActiveDirectory
20.195.64.240/28,,AzureActiveDirectory
20.195.138.96/28,,AzureActiveDirectory
20.195.154.64/28,,AzureActiveDirectory
20.205.195.32/27,,AzureActiveDirectory
20.207.219.224/27,,AzureActiveDirectory
20.222.128.176/28,,AzureActiveDirectory
20.231.128.0/19,,AzureActiveDirectory
23.98.114.128/27,,AzureActiveDirectory
23.101.0.70/32,,AzureActiveDirectory
23.101.6.190/32,,AzureActiveDirectory
40.64.116.112/28,,AzureActiveDirectory
40.68.160.142/32,,AzureActiveDirectory
40.69.107.160/27,,AzureActiveDirectory
40.71.13.0/27,,AzureActiveDirectory
40.74.99.80/28,,AzureActiveDirectory
40.74.101.64/27,,AzureActiveDirectory
40.74.146.192/27,,AzureActiveDirectory
40.78.195.160/27,,AzureActiveDirectory
40.78.203.64/27,,AzureActiveDirectory
40.79.131.128/27,,AzureActiveDirectory
40.79.142.128/26,,AzureActiveDirectory
40.79.149.192/26,,AzureActiveDirectory
40.79.165.0/26,,AzureActiveDirectory
40.79.175.0/26,,AzureActiveDirectory
40.79.179.128/27,,AzureActiveDirectory
40.80.55.32/28,,AzureActiveDirectory
40.83.144.56/32,,AzureActiveDirectory
40.115.144.8/29,,AzureActiveDirectory
40.124.67.224/27,,AzureActiveDirectory
40.126.0.0/18,,AzureActiveDirectory
48.211.20.204/30,,AzureActiveDirectory
48.211.20.224/29,,AzureActiveDirectory
48.213.128.0/20,,AzureActiveDirectory
48.215.88.248/29,,AzureActiveDirectory
48.215.89.64/30,,AzureActiveDirectory
51.11.194.64/28,,AzureActiveDirectory
51.12.33.144/28,,AzureActiveDirectory
51.12.231.32/28,,AzureActiveDirectory
51.12.238.224/28,,AzureActiveDirectory
51.140.148.192/27,,AzureActiveDirectory
51.140.208.0/26,,AzureActiveDirectory
51.140.211.192/27,,AzureActiveDirectory
52.138.65.157/32,,AzureActiveDirectory
52.138.68.41/32,,AzureActiveDirectory
52.138.229.112/28,,AzureActiveDirectory
52.146.132.96/27,,AzureActiveDirectory
52.146.133.80/28,,AzureActiveDirectory
52.146.137.66/31,,AzureActiveDirectory
52.150.157.0/27,,AzureActiveDirectory
52.157.20.148/32,,AzureActiveDirectory
52.157.20.186/32,,AzureActiveDirectory
52.157.20.205/32,,AzureActiveDirectory
52.159.175.31/32,,AzureActiveDirectory
52.159.175.117/32,,AzureActiveDirectory
52.159.175.121/32,,AzureActiveDirectory
52.161.13.71/32,,AzureActiveDirectory
52.161.13.95/32,,AzureActiveDirectory
52.161.110.169/32,,AzureActiveDirectory
52.162.110.96/27,,AzureActiveDirectory
52.167.149.32/28,,AzureActiveDirectory
52.169.125.119/32,,AzureActiveDirectory
52.169.218.0/32,,AzureActiveDirectory
52.174.189.149/32,,AzureActiveDirectory
52.175.18.134/32,,AzureActiveDirectory
52.178.27.112/32,,AzureActiveDirectory
52.179.122.218/32,,AzureActiveDirectory
52.179.126.223/32,,AzureActiveDirectory
52.180.177.87/32,,AzureActiveDirectory
